Question,Correct,Your Answer,Result,Topic,Difficulty
1,0,4,Incorrect,"Fractions, Word Problems",1
2,1,2,Incorrect,Exponents,1
3,1,0,Incorrect,Word Problems,2
4,2,3,Incorrect,"Word Problems, Arithmetic Mean (Average)",2
5,3,3,Correct,"Percents, Word Problems",3
6,3,3,Correct,"Word Problems, Perimeter",3
7,2,0,Incorrect,"Simplification, Distributing, Factoring,",2
8,2,0,Incorrect,Simple Solving,2
9,2,3,Incorrect,Sequences & Series,3
10,1,2,Incorrect,"Exponents, Radicals",4
11,2,2,Correct,"Substitution, Volume",3
12,3,4,Incorrect,Probability,3
13,2,3,Incorrect,"Word Problems, Matrices",4
14,2,2,Correct,"Arithmetic Mean (Average), Charts",3
15,3,2,Incorrect,"Word Problems, Charts",4
16,2,2,Correct,Simple Solving,3
17,0,4,Incorrect,Graphs,2
18,1,3,Incorrect,Permutations & Combinations,3
19,3,0,Incorrect,"Ratios & Proportions, Word Problems",3
20,2,2,Correct,Triangles,3
21,3,0,Incorrect,"Properties of Numbers, Fractions",3
22,1,2,Incorrect,"Graphs, Rearrangement",3
23,2,1,Incorrect,"Exponents, Simple Solving",4
24,3,1,Incorrect,Trigonometry,4
25,3,3,Correct,Circles,4
26,2,2,Correct,Simple Solving,2
27,1,1,Correct,"Word Problems, Volume",4
28,2,1,Incorrect,Trigonometry,4
29,3,1,Incorrect,"Graphs, Pictograms",3
30,3,1,Incorrect,Number Line,3
31,1,1,Correct,"Systems of Equations, Graphs",3
32,3,3,Correct,Rearrangement,3
