Question,Correct Answer,Your Answer,,Topic,Difficulty
Section 1,,,,,
35,D,,,"Clear & Concise Writing, Passage iii",3
36,G,,,"Modifiers & Modification, Passage iii",4
37,B,,,"Clear & Concise Writing, Passage iii",1
38,G,,,"Content, Passage iii",4
39,A,,,"Punctuation, No Change, Passage iii",2
40,F,,,"Content, Passage iii",5
41,A,,,"No Change, Passage iii, Conjunctions",1
42,J,,,"Modifiers & Modification, Passage iii",3
43,C,,,"Content, Passage iii",3
44,J,,,"Verb Tense / Form, Passage iii",2
45,A,,,"Paragraph Organization, Passage iii",4
46,J,,,"Content, Passage iv",2
47,B,,,"Verb Tense / Form, Passage iv",2
48,H,,,"Verb Tense / Form, Passage iv",3
49,A,,,"Paragraph Organization, Passage iv",4
50,J,,,"Clear & Concise Writing, Passage iv",2
51,C,,,"Pronoun Shift, Passage iv",3
52,F,,,"Idioms & Word Choice, Passage iv",3
53,B,,,"Punctuation, Passage iv",2
54,F,,,"Content, No Change, Passage iv",4
55,D,,,"Clear & Concise Writing, Passage iv",3
56,F,,,"Pronoun Shift, No Change, Passage iv",3
57,B,,,"Punctuation, Passage iv",3
58,G,,,"Clear & Concise Writing, Passage iv",3
59,C,,,"Adverb / Adjective Confusion, Passage iv",4
60,J,,,"Content, Passage iv",5
61,D,,,"Punctuation, Passage v",2
62,H,,,"Idioms & Word Choice, Passage v",3
63,D,,,"Punctuation, Passage v",4
64,G,,,"Content, Passage v",4
65,A,,,"Clear & Concise Writing, No Change, Passage v",3
66,F,,,"Clear & Concise Writing, No Change, Passage v",4
67,D,,,"Comparisons & Parallelism, Passage v",3
68,G,,,"Fragment, Passage v",3
69,A,,,"Punctuation, No Change, Passage v",2
70,F,,,"Idioms & Word Choice, No Change, Passage v",3
71,C,,,"Content, Passage v",5
72,H,,,"Modifiers & Modification, Passage v",4
73,C,,,"Paragraph Organization, Passage v",4
74,H,,,"Content, Passage v",3
75,D,,,"Content, Passage v",4
